Data order: Sorted;;;;;;;;;;;;
Data size;10.000;;30.000;;50.000;;100.000;;300.000;;500.000;
Resulting statics;Running time;Comparision;Running time;Comparision;Running time;Comparision;Running time;Comparision;Running time;Comparision;Running time;Comparision
Selection Sort;110,825;100009999;973,562;900029999;2606,67;2500049999;16866,1;10000099999;184056;90000299999;606689;2,5E+11
Insertion Sort;0,0632;29998;0,1894;89998;0,318;149998;0,6353;299998;3,1204;899998;3,1053;1499998
Shell Sort;0,8631;360042;3,2268;1170050;5,384;2100049;12,7945;4500051;43,5364;15300061;67,8224;25500058
Bubble Sort;0,041;19999;0,1392;59999;0,2019;99999;0,455;199999;1,4333;599999;2,4116;999999
Heap Sort;3,2418;518705;8,3443;1739633;13,3643;3056481;29,2899;6519813;103,306;21431637;170,045;37116275
Merge Sort;3,1751;475325;9,9701;3600886;16,7045;11476648;33,0547;26200549;105,088;63740518;183,975;156604593
Quick Sort;0,2127;133080;0,6866;462298;1,3702;824587;2,6231;1749164;7,7255;5498317;13,9616;9696622
Radix Sort;0,3867;90012;1,1996;330015;2,1359;550015;4,4688;1100015;15,8808;3900018;26,0047;6500018
Counting Sort;0,1425;70005;0,4937;210005;1,0107;350005;1,6051;700005;3,9612;2100005;6,6442;3500005
Binary Insertion Sort;0,4414;287231;1,4753;954463;2,3942;1668927;4,6516;3537855;14,8225;11551423;57,4997;19951423
Shaker Sort;0,088;40000;0,2702;120000;0,4376;200000;0,8745;400000;5,7388;1200000;5,4717;2000000
Flash Sort;0,4428;118994;1,313;356994;2,5556;594994;4,7639;1189994;14,9585;3569994;22,8077;5949994
